track_id,name,artist,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRCSKKO128EF33DD14,Sweet Home Alabama,Lynyrd Skynyrd,"rock, classic_rock, 70s, blues_rock",Rock,1998,283973,0.575,0.542,0,-14.544,1,0.0256,0.324,0.000783,0.0977,0.855,97.804,4
TRYJPIH128F4262602,This Love,Maroon 5,"rock, alternative, pop, alternative_rock, love, 00s, pop_rock",RnB,2007,205786,0.714,0.862,5,-4.603,0,0.0363,0.0609,0.0,0.093,0.764,95.038,4
TRAAHSY128F147BB5C,Speed of Sound,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, 00s, britpop, mellow",Rock,2008,287906,0.523,0.898,11,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,4
TRPSVTL128F936017F,Sultans of Swing,Dire Straits,"rock, classic_rock, 80s, 70s, guitar",Rock,2013,348812,0.736,0.815,5,-9.302,1,0.0304,0.0763,0.0799,0.27,0.921,148.152,4
TRXNSKZ128F427F1FB,Last Nite,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,2001,193373,0.624,0.899,0,-5.71,1,0.0295,0.0223,0.000155,0.0975,0.797,104.055,4
TRASRXK128F9311176,Fake Tales of San Francisco,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,179946,0.453,0.772,11,-4.466,0,0.0464,0.0109,0.0,0.0392,0.702,127.148,4
TRRVVTK128F422BB5D,Don't Stop Me Now,Queen,"rock, classic_rock, 80s, british, 70s",Pop,1979,268173,0.45,0.863,0,-11.825,1,0.194,0.0502,0.000241,0.689,0.23,159.335,4
TROCLWN128F92EB284,Fluorescent Adolescent,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Pop,2007,177534,0.647,0.818,6,-5.222,0,0.0291,0.00196,3.04e-05,0.177,0.813,112.109,4
TRWQINA128F9339E57,Buddy Holly,Weezer,"rock, alternative, indie, alternative_rock, indie_rock, 90s, american",Rock,1994,159226,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4
TRRKQMW128F9312597,Banquet,Bloc Party,"rock, alternative, indie, alternative_rock, indie_rock, british, post_punk, britpop",Rock,2011,198986,0.568,0.967,10,-3.804,0,0.0728,0.00163,0.00314,0.315,0.756,149.949,4
TRFOVTO128F4228CC3,Fortunate Son,Creedence Clearwater Revival,"rock, classic_rock, 60s",Rock,2005,138052,0.631,0.761,0,-3.905,1,0.0381,0.0562,0.26,0.201,0.45,132.498,4
TRINBYX128E0788920,1979,The Smashing Pumpkins,"rock, alternative, indie, alternative_rock, 90s, grunge",Rock,2013,267266,0.77,0.806,3,-9.414,1,0.0329,0.0153,0.614,0.0542,0.963,126.888,4
TRXCCHH128F429C0A9,Lonely Day,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Rock,2010,167906,0.47,0.796,8,-3.277,0,0.0336,0.362,1.11e-06,0.133,0.215,113.108,3
TRYFESD128F424095C,How You Remind Me,Nickelback,"rock, alternative, alternative_rock, hard_rock",Rock,2001,223826,0.44,0.763,10,-5.023,1,0.0337,0.00119,0.0,0.108,0.538,172.159,4
TRRGJNU128F92F42BF,Light My Fire,The Doors,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",Rock,2012,412280,0.424,0.619,4,-10.116,0,0.0306,0.278,0.0,0.0585,0.523,130.514,4
TRCBZKH128F4277109,We Will Rock You,Queen,"rock, classic_rock, hard_rock, 80s, british, 70s",Rock,2006,121706,0.69,0.44,11,-8.528,0,0.0768,0.654,0.0,0.538,0.494,81.234,4
TRXIBFG128F42A4CFF,The Kids Aren't Alright,The Offspring,"rock, alternative, alternative_rock, punk, punk_rock, 90s",Rock,2005,179946,0.512,0.945,1,-4.204,1,0.0347,0.006,3.25e-05,0.0581,0.812,99.552,4
TRBRRRZ128F930AB47,One Step Closer,Linkin Park,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Rock,2000,157333,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
TRGDQFS128F933AD5C,Violet Hill,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, 00s, britpop",Rock,2008,221306,0.332,0.587,1,-7.905,0,0.0362,0.0571,0.00162,0.0864,0.109,76.051,4
TRRIGXH12903CB17E1,The Reason,Hoobastank,"rock, alternative, pop, alternative_rock, love, pop_rock",RnB,2010,233173,0.464,0.585,4,-7.889,1,0.0283,0.00948,0.0,0.131,0.0716,82.852,4
TRBNYBX128F422EC61,Hey There Delilah,Plain White T's,"rock, alternative, indie, pop, indie_rock, acoustic, emo, love, beautiful, mellow",Rock,2006,247060,0.451,0.261,2,-12.467,1,0.029,0.981,3.21e-06,0.659,0.372,100.46,4
TRAAXZC128F9360095,When the Sun Goes Down,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,202013,0.35,0.868,11,-4.903,0,0.171,0.0357,0.0,0.13,0.415,169.631,4
TRBBVGN128F931CBE4,Come Together,The Beatles,"rock, pop, classic_rock, british, psychedelic, 60s, oldies",Jazz,2014,206091,0.515,0.747,9,-4.369,0,0.0434,0.0321,5.37e-05,0.313,0.365,178.134,4
TRSJJWD128F930EAD7,What I've Done,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal",Rock,2007,205613,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4
TRDMUWU128E078EDDB,Dumb,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Rock,1993,149706,0.682,0.405,6,-11.86,1,0.028,0.151,0.387,0.27,0.846,113.719,4
TRFOWKL12903CB3227,Sympathy for the Devil,The Rolling Stones,"rock, classic_rock, british, 60s",Electronic,1995,528693,0.479,0.874,9,-8.845,1,0.0723,0.333,0.424,0.686,0.834,118.657,4
TRXHJXZ128F423A18E,Immigrant Song,Led Zeppelin,"rock, classic_rock, hard_rock, british, 70s",Country,2003,145066,0.574,0.926,11,-10.79,1,0.0562,0.00031,0.478,0.386,0.609,113.097,4
TRARTEH128F423DBC1,15 Step,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, britpop",Rock,2007,237293,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,4
TRLMSAQ128F92E2532,Let It Be,The Beatles,"rock, pop, classic_rock, british, piano, 60s, oldies",Rock,2012,236133,0.401,0.186,0,-17.001,1,0.0356,0.588,0.84,0.103,0.504,75.894,4
TRRGBWT128F4274A56,Drive,Incubus,"rock, alternative, indie, alternative_rock, 90s, acoustic",Rock,2009,232760,0.645,0.835,4,-5.975,0,0.0372,0.0597,0.0139,0.158,0.661,90.56,4
TRYALRP128F92F521E,Aerials,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,2011,234826,0.406,0.924,0,-3.384,0,0.0516,0.00146,0.0422,0.0774,0.254,79.957,4
TRCUFYM12903CC389B,1901,Phoenix,"rock, electronic, alternative, indie, pop, indie_rock, dance, indie_pop, french",Rock,2009,193106,0.604,0.833,0,-5.406,1,0.0419,0.0608,3.79e-05,0.242,0.722,144.079,4
TRWVOJJ12903CCC654,My Immortal,Evanescence,"rock, alternative, female_vocalists, metal, alternative_rock, piano, love, beautiful, gothic_metal, gothic",Rock,2014,270266,0.364,0.285,9,-9.927,1,0.032,0.75,5.69e-06,0.1,0.0707,149.552,4
TRALASU128F9319112,Yesterday,The Beatles,"rock, pop, classic_rock, british, acoustic, 60s, oldies, beautiful",Jazz,2013,177000,0.458,0.0781,6,-19.955,0,0.044,0.993,0.94,0.0955,0.23,83.624,4
TRRJXQO128F42581B4,Maps,Yeah Yeah Yeahs,"rock, alternative, indie, female_vocalists, alternative_rock, indie_rock, love, beautiful, 00s",Rock,2004,214973,0.532,0.935,7,-5.839,1,0.055,0.00088,0.251,0.297,0.253,119.762,4
TRRUOJE128F931C966,Reckoner,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, chillout, beautiful, britpop",Rock,2008,289760,0.49,0.632,4,-7.449,0,0.027,0.496,0.157,0.0827,0.237,104.265,4
TRIMBSF128F92FDD26,Last Resort,Papa Roach,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Folk,2000,199893,0.59,0.894,4,-3.661,0,0.0579,0.000387,0.000661,0.269,0.732,90.604,4
TRHHSUX128F932E546,Bodysnatchers,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, psychedelic, 00s",Electronic,2008,241506,0.4,0.979,2,-4.988,1,0.0602,0.00612,0.0319,0.0879,0.712,83.369,4
TRUDJQA128F930F7B9,Lucky,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop",Rock,2008,259640,0.199,0.419,11,-9.365,0,0.0324,0.0472,0.575,0.114,0.216,133.397,4
TRITVFR128E078EE0B,Drain You,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Rock,1991,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
TRFXBVX128F4265DC7,Bulls on Parade,Rage Against the Machine,"rock, alternative, metal, alternative_rock, hard_rock, 90s",Rock,1996,229466,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
TRAVBMS128F1458D8C,Give It Away,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk",Rock,2014,284266,0.683,0.989,9,-2.092,0,0.0616,0.00579,0.00108,0.0964,0.781,91.558,4
TRULNMQ128F92E1FDA,Plug In Baby,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",Rock,2001,220480,0.406,0.953,2,-5.74,1,0.0473,6.48e-06,0.000407,0.0911,0.307,136.007,4
TRFYALP128F4281930,Rebellion (Lies),Arcade Fire,"rock, alternative, indie, alternative_rock, indie_rock, beautiful, 00s",Rock,2004,310893,0.404,0.938,8,-5.637,1,0.0357,0.00878,0.503,0.336,0.757,127.162,4
TROHBTQ128F427ECF2,Holiday,Green Day,"rock, alternative, alternative_rock, punk, punk_rock, american",Rock,2017,232680,0.552,0.89,8,-3.409,1,0.0342,0.000143,0.0,0.888,0.716,146.525,4
TRCQKEZ128F933F180,Behind Blue Eyes,Limp Bizkit,"rock, alternative, metal, alternative_rock, cover, nu_metal",Rock,2005,269386,0.586,0.502,7,-6.114,1,0.0272,0.417,0.0,0.0971,0.101,120.297,4
TRZODCU128F933923E,Chelsea Dagger,The Fratellis,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2010,213893,0.509,0.754,7,-5.014,1,0.128,0.0517,0.0,0.12,0.528,154.671,4
TRFOBPI128F42734B9,The Unforgiven,Metallica,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",Metal,1991,386493,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,4
TRNULHY128F92F8F1B,Teddy Picker,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2007,165000,0.637,0.963,9,-5.116,1,0.0882,0.000286,0.000889,0.0449,0.823,150.1,4
TRDUOHB128F92F24DC,Monkey Wrench,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",Rock,1997,231160,0.405,0.962,4,-4.81,1,0.0766,2.99e-05,5.11e-05,0.124,0.703,174.098,4
TROIISO128F93184B7,Everybody's Changing,Keane,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, britpop, mellow",Rock,2004,214413,0.505,0.841,0,-3.526,1,0.0311,0.00135,0.000322,0.119,0.441,94.01,4
TROVIUK128F145A17F,Ooh La,The Kooks,"rock, alternative, indie, indie_rock, british, britpop",Rock,2006,208973,0.543,0.873,10,-5.159,0,0.0803,0.0165,9.45e-05,0.15,0.786,150.891,4
TRHJOFO12903CBFDE9,There Is a Light That Never Goes Out,The Smiths,"rock, alternative, indie, pop, alternative_rock, indie_rock, 80s, british, new_wave, post_punk, love, beautiful, britpop",Rock,2008,243573,0.522,0.734,4,-6.899,1,0.0269,0.0425,0.0,0.172,0.864,135.991,4
TRADYQK128F42A762A,Stockholm Syndrome,Muse,"rock, alternative, indie, alternative_rock, progressive_rock, british",Rock,2003,297000,0.434,0.977,2,-4.845,1,0.0786,0.00187,0.166,0.347,0.0939,128.223,4
TRBHVDQ128E0788919,Bullet With Butterfly Wings,The Smashing Pumpkins,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",Rock,2008,258173,0.389,0.802,10,-7.352,0,0.0662,5.42e-05,0.877,0.044,0.525,122.153,4
TRCSSLJ128F9338D98,Tighten Up,The Black Keys,"rock, alternative, indie, indie_rock, blues, blues_rock",RnB,2010,211121,0.491,0.706,1,-6.207,0,0.0669,0.00118,3.98e-06,0.496,0.573,108.927,4
TRWYIOX128F9311181,Riot Van,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,134933,0.593,0.333,9,-14.342,1,0.046,0.358,0.0,0.245,0.258,103.537,4
TRAMGPM128F9311196,From the Ritz to the Rubble,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,195426,0.215,0.876,9,-5.327,0,0.0429,0.00165,0.0,0.313,0.715,188.89,4
TRAZEOK128F429E934,Demons,Imagine Dragons,"rock, alternative, indie, alternative_rock, indie_rock, american",Rock,2014,175080,0.497,0.666,3,-5.038,1,0.0326,0.181,0.000131,0.432,0.356,90.03,4
TRIAXAU128F92CCF2F,Teenagers,My Chemical Romance,"rock, alternative, alternative_rock, punk, punk_rock, emo",Rock,2004,161920,0.458,0.859,4,-3.173,1,0.0607,0.0595,0.0,0.189,0.846,110.734,4
TRYGEGZ128F421E815,Somebody to Love,Jefferson Airplane,"rock, female_vocalists, classic_rock, psychedelic, 60s, oldies, psychedelic_rock",Rock,2008,175293,0.487,0.701,4,-4.908,1,0.0323,0.115,0.0,0.251,0.669,132.416,4
TRIDPWO128F423DBC6,Faust Arp,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, acoustic, beautiful",Rock,2007,129680,0.338,0.289,0,-13.479,1,0.0366,0.834,0.344,0.0966,0.226,121.857,3
TRRUIKN128E078218F,Climbing Up the Walls,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, 90s, beautiful, britpop",Rock,1996,285200,0.172,0.655,11,-7.476,0,0.042,0.0971,0.128,0.195,0.221,78.653,4
TRGKAHN128F4253C0E,Still Take You Home,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,173666,0.599,0.946,8,-4.192,1,0.0378,0.000669,0.0,0.0973,0.653,108.934,4
TROIESH128F422EEA3,Go Your Own Way,Fleetwood Mac,"rock, pop, classic_rock, 70s",Rock,1977,218400,0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,4
TRADPQN128F932D33E,Heads Will Roll,Yeah Yeah Yeahs,"rock, electronic, alternative, indie, female_vocalists, indie_rock, dance, 00s",Rock,2009,222440,0.563,0.903,8,-4.458,0,0.0293,0.000178,0.123,0.302,0.766,132.022,4
TRIROYA12903CE1794,Something Good Can Work,Two Door Cinema Club,"rock, electronic, alternative, indie, pop, indie_rock, british, indie_pop, britpop",Rock,2010,164200,0.647,0.83,0,-5.025,1,0.0342,0.00522,0.000852,0.17,0.73,119.91,4
TRDQBTS128F4234DF9,The Youth,MGMT,"rock, electronic, alternative, indie, indie_rock, psychedelic, indie_pop",Reggae,2008,228013,0.485,0.799,5,-5.886,1,0.029,0.122,0.0054,0.33,0.468,111.012,3
TRGDQXO128F428EE14,Electioneering,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",Reggae,1996,230626,0.185,0.889,9,-5.491,0,0.0743,0.00267,0.0981,0.291,0.331,77.555,4
TRQUFVD128F4236831,Walk on the Wild Side,Lou Reed,"rock, classic_rock, singer_songwriter, 70s",Jazz,2010,253293,0.543,0.272,0,-19.497,1,0.106,0.711,0.000467,0.102,0.382,104.792,4
TRFUGVB128F4265DD9,Guerrilla Radio,Rage Against the Machine,"rock, alternative, metal, alternative_rock, hard_rock, 90s",Rock,1999,206200,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68,4
TRCIVWB128F92FDBB3,Strawberry Swing,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, 00s, britpop, mellow",Rock,2009,249666,0.195,0.669,1,-10.457,1,0.0601,0.00804,0.788,0.238,0.428,173.12,4
TRLWTAG128E0789037,Kids With Guns,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, british, hip_hop, trip_hop",Rock,2005,225773,0.838,0.475,4,-5.505,0,0.036,0.000417,0.714,0.226,0.711,106.217,4
TRTDZXN128F4252EA3,How to Disappear Completely,Radiohead,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, beautiful, 00s, mellow",Rock,2000,356333,0.168,0.302,6,-11.645,0,0.0344,0.315,0.79,0.11,0.205,102.041,4
TRFNFGI128F930A920,Today,The Smashing Pumpkins,"rock, alternative, indie, alternative_rock, indie_rock, 90s, beautiful, grunge",Country,1993,201173,0.456,0.826,8,-7.611,1,0.0268,3.35e-05,0.57,0.0548,0.415,82.539,4
TRRLZAX12903CC4850,Us and Them,Pink Floyd,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Electronic,1973,470266,0.351,0.31,2,-13.922,1,0.0308,0.701,0.0526,0.842,0.122,72.786,4
TROJJKH128F425C8D8,Hey You,Pink Floyd,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Rap,2011,280706,0.589,0.29,0,-15.021,1,0.0293,0.271,0.00448,0.139,0.183,112.434,4
TRGVSMR128F42B58E7,New Born,Muse,"rock, alternative, indie, alternative_rock, progressive_rock, british",Rock,2001,365480,0.316,0.918,4,-7.333,1,0.0932,0.00354,0.14,0.112,0.148,152.007,4
TRXDJMR12903CCE950,My Generation,The Who,"rock, classic_rock, hard_rock, british, 60s",Metal,1984,205493,0.24,0.841,2,-12.137,1,0.0802,0.027,0.0594,0.502,0.554,99.8,4
TRYJJIA128F4267301,Icky Thump,The White Stripes,"rock, alternative, indie, alternative_rock, indie_rock, 00s, blues_rock",Rock,2007,254533,0.424,0.632,9,-7.243,1,0.0922,0.021,0.0117,0.0545,0.356,97.694,4
TRUYVGJ128F92F929B,Here Comes Your Man,Pixies,"rock, alternative, indie, alternative_rock, punk, indie_rock, 80s, post_punk",Rock,1989,201693,0.669,0.783,2,-12.302,1,0.0295,0.0475,0.0296,0.115,0.896,124.518,4
TRHQYEV128E078129D,Pyramid Song,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, piano, beautiful, mellow",Rock,2001,288733,0.127,0.335,11,-8.298,0,0.0329,0.786,0.427,0.111,0.0686,77.078,4
TRADJBK128F1453605,In Too Deep,Sum 41,"rock, alternative, alternative_rock, punk, punk_rock",Pop,2010,206493,0.569,0.814,9,-6.819,1,0.0593,0.000217,0.0,0.0644,0.755,116.013,4
TRININI128F427E5A0,Your Song,Elton John,"rock, pop, classic_rock, singer_songwriter, british, piano, 70s, male_vocalists, oldies, love",RnB,2007,242546,0.546,0.283,3,-12.532,1,0.0328,0.818,1.64e-06,0.0873,0.294,127.954,4
TRUPZPL128F145C25C,(Don't Fear) The Reaper,Blue Öyster Cult,"rock, classic_rock, hard_rock, 70s",Rock,1999,230800,0.434,0.89,0,-11.693,1,0.0579,0.000499,0.00037,0.234,0.7,142.0,4
TRIZIGR128E0794B13,From Yesterday,30 Seconds to Mars,"rock, alternative, alternative_rock, emo",Rock,2005,247373,0.468,0.876,10,-4.841,1,0.0692,0.00578,0.00625,0.035,0.13,135.062,4
TRILDZF128F4281CBB,12:51,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,2003,153133,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.591,145.056,4
TRONYHY128F92C9D11,Revelry,Kings of Leon,"rock, alternative, indie, alternative_rock, indie_rock, male_vocalists, beautiful, 00s, mellow",Rock,2008,201733,0.437,0.748,4,-6.593,1,0.0689,0.196,0.000328,0.158,0.383,149.834,4
TRUIMWD128F425141D,This Fire,Franz Ferdinand,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Reggae,2004,254693,0.543,0.874,7,-9.46,1,0.0529,0.00255,0.0,0.164,0.673,138.086,4
TRADNVM12903CE790C,Bodies,Drowning Pool,"rock, alternative, metal, hard_rock, heavy_metal, hardcore, nu_metal",Folk,2001,201960,0.656,0.927,4,-3.396,0,0.0821,0.00364,0.00328,0.155,0.616,130.898,4
TRXFYCU128F4258741,Ziggy Stardust,David Bowie,"rock, classic_rock, british, 70s",Rock,2009,194653,0.408,0.646,7,-7.181,1,0.0435,0.0714,0.0,0.176,0.565,80.148,4
TRDWWGK128F4243516,Cape Cod Kwassa Kwassa,Vampire Weekend,"rock, alternative, indie, pop, indie_rock, american, indie_pop, 00s",Rock,2012,211840,0.843,0.456,2,-10.213,1,0.0407,0.837,0.0312,0.239,0.799,105.031,4
TRLMTRJ128F933BAD0,Warning Sign,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, love, beautiful, britpop, mellow",Rock,2002,331133,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,4
TRJPARF128F428EE13,Fitter Happier,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, british, 90s, britpop",Reggae,1997,117333,0.432,0.391,9,-14.99,1,0.242,0.813,0.00363,0.155,0.744,123.538,4
